iter 1270: loss 2.3230, time 1257.38ms, mfu 21.48%, 0.64 GB
iter 1280: loss 2.1481, time 1261.00ms, mfu 21.55%, 0.65 GB
iter 1290: loss 1.9744, time 1254.64ms, mfu 21.63%, 0.65 GB
iter 1300: loss 2.3678, time 1258.87ms, mfu 21.69%, 0.66 GB
iter 1310: loss 2.3435, time 1256.14ms, mfu 21.75%, 0.67 GB
iter 1320: loss 2.1922, time 1258.81ms, mfu 21.81%, 0.67 GB
iter 1330: loss 2.0418, time 1257.03ms, mfu 21.85%, 0.68 GB
iter 1340: loss 2.1681, time 1256.51ms, mfu 21.90%, 0.68 GB
iter 1350: loss 2.2997, time 1259.80ms, mfu 21.93%, 0.69 GB
iter 1360: loss 2.3135, time 1253.90ms, mfu 21.98%, 0.69 GB
iter 1370: loss 2.1840, time 1264.83ms, mfu 21.99%, 0.70 GB
iter 1380: loss 2.3173, time 1253.74ms, mfu 22.03%, 0.70 GB
iter 1390: loss 2.0435, time 1261.47ms, mfu 22.05%, 0.71 GB
iter 1400: loss 2.2132, time 1254.20ms, mfu 22.08%, 0.71 GB
iter 1410: loss 2.3826, time 1261.43ms, mfu 22.09%, 0.72 GB
iter 1420: loss 2.1392, time 1254.59ms, mfu 22.12%, 0.72 GB
iter 1430: loss 2.2078, time 1256.69ms, mfu 22.13%, 0.73 GB
iter 1440: loss 2.0680, time 1256.81ms, mfu 22.15%, 0.73 GB
iter 1450: loss 2.2218, time 1257.82ms, mfu 22.16%, 0.74 GB
iter 1460: loss 2.2340, time 1265.49ms, mfu 22.16%, 0.74 GB
iter 1470: loss 2.1046, time 1254.20ms, mfu 22.18%, 0.75 GB
iter 1480: loss 2.1797, time 1264.72ms, mfu 22.18%, 0.75 GB
iter 1490: loss 2.1426, time 1253.04ms, mfu 22.20%, 0.76 GB
iter 1500: loss 2.0056, time 1261.53ms, mfu 22.20%, 0.76 GB
iter 1510: loss 2.1977, time 1260.25ms, mfu 22.20%, 0.77 GB
iter 1520: loss 2.1582, time 1257.52ms, mfu 22.21%, 0.77 GB
iter 1530: loss 2.1113, time 1258.65ms, mfu 22.22%, 0.78 GB
iter 1540: loss 2.2124, time 1264.58ms, mfu 22.21%, 0.78 GB
iter 1550: loss 2.2322, time 1242.27ms, mfu 22.24%, 0.79 GB
iter 1560: loss 2.0433, time 1253.48ms, mfu 22.26%, 0.79 GB
iter 1570: loss 2.0187, time 1253.76ms, mfu 22.27%, 0.80 GB
iter 1580: loss 2.2115, time 1257.89ms, mfu 22.27%, 0.80 GB
iter 1590: loss 2.1125, time 1257.07ms, mfu 22.27%, 0.81 GB
step 1600: train loss 2.1200, val loss 2.1618
saving checkpoint to out/r2-tierB-gpt2tok
iter 1600: loss 2.1398, time 5419.79ms, mfu 20.56%, 0.81 GB
iter 1610: loss 2.0478, time 1262.06ms, mfu 20.72%, 0.82 GB
iter 1620: loss 2.1771, time 1260.15ms, mfu 20.88%, 0.82 GB
iter 1630: loss 1.9929, time 1257.75ms, mfu 21.02%, 0.83 GB
iter 1640: loss 2.2023, time 1257.53ms, mfu 21.14%, 0.83 GB
iter 1650: loss 2.1608, time 1261.74ms, mfu 21.25%, 0.84 GB
iter 1660: loss 1.9478, time 1255.34ms, mfu 21.36%, 0.84 GB
iter 1670: loss 2.1399, time 1260.38ms, mfu 21.44%, 0.85 GB
iter 1680: loss 2.1031, time 1257.24ms, mfu 21.53%, 0.85 GB
iter 1690: loss 2.1533, time 1260.28ms, mfu 21.60%, 0.86 GB
iter 1700: loss 2.2563, time 1258.96ms, mfu 21.67%, 0.86 GB
iter 1710: loss 1.9424, time 1258.33ms, mfu 21.73%, 0.87 GB
iter 1720: loss 2.1387, time 1259.33ms, mfu 21.78%, 0.87 GB
iter 1730: loss 1.9717, time 1252.68ms, mfu 21.84%, 0.88 GB
iter 1740: loss 2.0702, time 1260.71ms, mfu 21.88%, 0.88 GB
iter 1750: loss 2.1505, time 1255.73ms, mfu 21.92%, 0.89 GB
iter 1760: loss 2.1738, time 1256.77ms, mfu 21.96%, 0.89 GB
iter 1770: loss 2.2663, time 1254.70ms, mfu 22.00%, 0.90 GB
iter 1780: loss 2.1881, time 1260.63ms, mfu 22.02%, 0.90 GB
iter 1790: loss 2.0220, time 1258.60ms, mfu 22.04%, 0.91 GB
iter 1800: loss 2.0705, time 1259.91ms, mfu 22.06%, 0.91 GB
iter 1810: loss 2.2146, time 1255.33ms, mfu 22.09%, 0.92 GB
iter 1820: loss 2.0506, time 1263.24ms, mfu 22.10%, 0.92 GB
iter 1830: loss 2.3032, time 1255.07ms, mfu 22.12%, 0.93 GB
iter 1840: loss 2.2068, time 1256.96ms, mfu 22.14%, 0.93 GB
iter 1850: loss 2.0708, time 1259.65ms, mfu 22.15%, 0.94 GB
iter 1860: loss 2.1938, time 1254.51ms, mfu 22.17%, 0.94 GB
iter 1870: loss 2.2129, time 1262.11ms, mfu 22.17%, 0.95 GB
iter 1880: loss 2.0003, time 1250.63ms, mfu 22.20%, 0.95 GB
iter 1890: loss 2.2200, time 1262.90ms, mfu 22.20%, 0.96 GB
iter 1900: loss 2.1349, time 1255.94ms, mfu 22.21%, 0.96 GB
iter 1910: loss 2.0463, time 1262.81ms, mfu 22.21%, 0.97 GB
iter 1920: loss 2.0078, time 1255.11ms, mfu 22.22%, 0.97 GB
iter 1930: loss 2.1711, time 1259.70ms, mfu 22.22%, 0.98 GB
iter 1940: loss 1.9944, time 1259.88ms, mfu 22.22%, 0.98 GB
iter 1950: loss 2.1721, time 1256.48ms, mfu 22.23%, 0.99 GB
iter 1960: loss 2.2361, time 1259.78ms, mfu 22.23%, 1.00 GB
iter 1970: loss 2.0830, time 1254.70ms, mfu 22.24%, 1.00 GB
iter 1980: loss 2.0780, time 1261.69ms, mfu 22.24%, 1.01 GB
iter 1990: loss 2.1995, time 1255.07ms, mfu 22.25%, 1.01 GB
step 2000: train loss 2.0528, val loss 2.1084
saving checkpoint to out/r2-tierB-gpt2tok
iter 2000: loss 1.8983, time 5406.00ms, mfu 20.54%, 1.02 GB
iter 2010: loss 1.9908, time 1261.76ms, mfu 20.71%, 1.02 GB
iter 2020: loss 2.3127, time 1257.53ms, mfu 20.87%, 1.03 GB
iter 2030: loss 2.0386, time 1254.30ms, mfu 21.01%, 1.03 GB
iter 2040: loss 2.2319, time 1257.38ms, mfu 21.14%, 1.04 GB
iter 2050: loss 2.0199, time 1256.33ms, mfu 21.26%, 1.04 GB
iter 2060: loss 2.0406, time 1249.27ms, mfu 21.38%, 1.05 GB
iter 2070: loss 1.7186, time 1255.88ms, mfu 21.47%, 1.05 GB
iter 2080: loss 2.0521, time 1264.86ms, mfu 21.54%, 1.06 GB
iter 2090: loss 2.0230, time 1254.94ms, mfu 21.62%, 1.06 GB
iter 2100: loss 2.1979, time 1258.32ms, mfu 21.68%, 1.07 GB
iter 2110: loss 2.0457, time 1256.02ms, mfu 21.75%, 1.07 GB
iter 2120: loss 2.0729, time 1256.80ms, mfu 21.80%, 1.08 GB
iter 2130: loss 2.1452, time 1263.26ms, mfu 21.84%, 1.08 GB
