iter 2380: loss 2.0194, time 1241.49ms, mfu 22.43%, 1.21 GB
iter 2390: loss 2.0864, time 1248.22ms, mfu 22.43%, 1.21 GB
step 2400: train loss 2.0258, val loss 2.0687
saving checkpoint to out/r2a-s1338
iter 2400: loss 2.1380, time 5440.26ms, mfu 20.70%, 1.22 GB
iter 2410: loss 2.0886, time 1244.57ms, mfu 20.88%, 1.22 GB
iter 2420: loss 2.0558, time 1240.18ms, mfu 21.06%, 1.23 GB
iter 2430: loss 2.0823, time 1265.88ms, mfu 21.16%, 1.23 GB
iter 2440: loss 2.0186, time 1241.02ms, mfu 21.31%, 1.24 GB
iter 2450: loss 1.9190, time 1280.01ms, mfu 21.36%, 1.24 GB
iter 2460: loss 2.1016, time 1240.36ms, mfu 21.49%, 1.25 GB
iter 2470: loss 2.0800, time 1240.00ms, mfu 21.60%, 1.25 GB
iter 2480: loss 2.2096, time 1264.88ms, mfu 21.65%, 1.26 GB
iter 2490: loss 1.8791, time 1240.70ms, mfu 21.75%, 1.26 GB
iter 2500: loss 2.0556, time 1241.51ms, mfu 21.83%, 1.27 GB
iter 2510: loss 1.9017, time 1241.40ms, mfu 21.90%, 1.27 GB
iter 2520: loss 1.8421, time 1251.47ms, mfu 21.95%, 1.28 GB
iter 2530: loss 1.9888, time 1241.76ms, mfu 22.01%, 1.28 GB
iter 2540: loss 2.0715, time 1242.39ms, mfu 22.07%, 1.29 GB
iter 2550: loss 1.8550, time 1249.06ms, mfu 22.11%, 1.29 GB
iter 2560: loss 2.0326, time 1257.93ms, mfu 22.12%, 1.30 GB
iter 2570: loss 2.1224, time 1241.12ms, mfu 22.17%, 1.30 GB
iter 2580: loss 2.1070, time 1239.90ms, mfu 22.21%, 1.31 GB
iter 2590: loss 1.9522, time 1258.89ms, mfu 22.22%, 1.31 GB
iter 2600: loss 2.0138, time 1250.78ms, mfu 22.24%, 1.32 GB
iter 2610: loss 2.1772, time 1269.60ms, mfu 22.22%, 1.33 GB
iter 2620: loss 1.8629, time 1266.51ms, mfu 22.21%, 1.33 GB
iter 2630: loss 1.8424, time 1251.35ms, mfu 22.23%, 1.34 GB
iter 2640: loss 2.0716, time 1257.26ms, mfu 22.23%, 1.34 GB
iter 2650: loss 2.1189, time 1249.03ms, mfu 22.25%, 1.35 GB
iter 2660: loss 1.8162, time 1267.62ms, mfu 22.24%, 1.35 GB
iter 2670: loss 1.9572, time 1263.69ms, mfu 22.23%, 1.36 GB
iter 2680: loss 1.8553, time 1262.37ms, mfu 22.23%, 1.36 GB
iter 2690: loss 2.0082, time 1262.69ms, mfu 22.23%, 1.37 GB
iter 2700: loss 2.0324, time 1257.99ms, mfu 22.23%, 1.37 GB
iter 2710: loss 2.1586, time 1261.56ms, mfu 22.23%, 1.38 GB
iter 2720: loss 1.8180, time 1261.59ms, mfu 22.23%, 1.38 GB
iter 2730: loss 2.2445, time 1262.61ms, mfu 22.22%, 1.39 GB
iter 2740: loss 1.8431, time 1259.60ms, mfu 22.23%, 1.39 GB
iter 2750: loss 1.7928, time 1252.71ms, mfu 22.24%, 1.40 GB
iter 2760: loss 1.9884, time 1251.21ms, mfu 22.26%, 1.40 GB
iter 2770: loss 2.1516, time 1255.04ms, mfu 22.26%, 1.41 GB
iter 2780: loss 1.8814, time 1261.13ms, mfu 22.26%, 1.41 GB
iter 2790: loss 1.6405, time 1252.43ms, mfu 22.27%, 1.42 GB
step 2800: train loss 1.9569, val loss 2.0118
saving checkpoint to out/r2a-s1338
iter 2800: loss 2.1471, time 5436.20ms, mfu 20.56%, 1.42 GB
iter 2810: loss 2.1538, time 1252.91ms, mfu 20.74%, 1.43 GB
iter 2820: loss 2.0535, time 1256.66ms, mfu 20.90%, 1.43 GB
iter 2830: loss 1.9230, time 1253.00ms, mfu 21.04%, 1.44 GB
iter 2840: loss 2.0043, time 1258.63ms, mfu 21.17%, 1.44 GB
iter 2850: loss 1.9822, time 1256.52ms, mfu 21.28%, 1.45 GB
iter 2860: loss 1.9144, time 1252.48ms, mfu 21.39%, 1.45 GB
iter 2870: loss 1.8161, time 1262.07ms, mfu 21.47%, 1.46 GB
iter 2880: loss 1.7501, time 1265.09ms, mfu 21.54%, 1.46 GB
iter 2890: loss 2.0785, time 1257.88ms, mfu 21.61%, 1.47 GB
iter 2900: loss 2.2532, time 1254.87ms, mfu 21.68%, 1.47 GB
iter 2910: loss 2.1348, time 1264.52ms, mfu 21.73%, 1.48 GB
iter 2920: loss 2.0449, time 1256.13ms, mfu 21.79%, 1.48 GB
iter 2930: loss 1.8912, time 1267.73ms, mfu 21.82%, 1.49 GB
iter 2940: loss 2.0889, time 1255.69ms, mfu 21.87%, 1.49 GB
iter 2950: loss 1.9416, time 1259.07ms, mfu 21.91%, 1.50 GB
iter 2960: loss 1.8947, time 1238.46ms, mfu 21.98%, 1.50 GB
iter 2970: loss 1.8480, time 1239.14ms, mfu 22.04%, 1.51 GB
iter 2980: loss 1.8993, time 1239.61ms, mfu 22.10%, 1.51 GB
iter 2990: loss 2.0543, time 1240.41ms, mfu 22.15%, 1.52 GB
iter 3000: loss 1.9293, time 1248.57ms, mfu 22.18%, 1.52 GB
iter 3010: loss 2.1877, time 1242.04ms, mfu 22.22%, 1.53 GB
